date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2022-08-15,sh.601360,7.7400,7.7400,7.6100,7.6500,7.7600,31768550,243290570.7500,3,0.444600,1,-1.417500,64.036078,1.599173,5.033557,-246.972947,0
2022-08-16,sh.601360,7.7000,7.7200,7.5500,7.6000,7.6500,29053899,221030198.1200,3,0.406600,1,-0.653600,63.617541,1.588721,5.000658,-245.358745,0
2022-08-17,sh.601360,7.6000,7.6500,7.5100,7.6200,7.6000,27074600,205347374.6800,3,0.378900,1,0.263200,63.784956,1.592902,5.013817,-246.004426,0
2022-08-18,sh.601360,7.6000,7.6100,7.5000,7.5600,7.6200,26455356,199354277.1900,3,0.370200,1,-0.787400,63.282712,1.580359,4.974338,-244.067383,0
2022-08-19,sh.601360,7.5500,7.7100,7.4800,7.4900,7.5600,34588102,262455762.5800,3,0.484100,1,-0.925900,62.696761,1.565726,4.928280,-241.807500,0
2022-08-22,sh.601360,7.4500,7.5400,7.3600,7.5100,7.4900,23775028,177811105.2300,3,0.332700,1,0.267000,62.864176,1.569907,4.941439,-242.453181,0
2022-08-23,sh.601360,7.4900,7.5100,7.4300,7.4500,7.5100,19117859,142569406.4700,3,0.267600,1,-0.798900,62.361932,1.557364,4.901960,-240.516138,0
2022-08-24,sh.601360,7.4500,7.4900,7.2400,7.2400,7.4500,36869150,270893073.0400,3,0.516000,1,-2.818800,60.604079,1.513466,4.763784,-233.736489,0
2022-08-25,sh.601360,7.2400,7.3100,7.1500,7.2900,7.2400,28686165,207476432.8500,3,0.401500,1,0.690600,61.022615,1.523918,4.796683,-235.350691,0
2022-08-26,sh.601360,7.2900,7.4400,7.2700,7.3000,7.2900,33686274,247650860.0400,3,0.471400,1,0.137200,-765.589610,1.594742,5.169588,103.284500,0
2022-08-29,sh.601360,7.2100,7.2600,7.1400,7.2200,7.3000,27947032,201058977.9100,3,0.391100,1,-1.095900,-757.199587,1.577265,5.112935,102.152615,0
2022-08-30,sh.601360,7.2100,7.4200,7.1900,7.3200,7.2200,28509114,207917898.6000,3,0.399000,1,1.385000,-767.687116,1.599111,5.183752,103.567471,0
2022-08-31,sh.601360,7.2800,7.3900,7.2400,7.3200,7.3200,28579814,209167097.2600,3,0.400000,1,0.000000,-767.687116,1.599111,5.183752,103.567471,0
2022-09-01,sh.601360,7.2900,7.3900,7.2600,7.2600,7.3200,25744926,188730576.7600,3,0.360300,1,-0.819700,-761.394599,1.586003,5.141262,102.718558,0
